id,email,password_hash,country,role,sailingExp,budgetMin,budgetMax,has_skipper_licence,createdAt,updatedAt
76c4daf8-bccc-4d53-b36f-453b7f970c42,npowell@example.net,b71ea608d518a792a0b84b247f41cd3d7c66a0005266c2634fe345fa3c1da219,France,lessee,beginner,153000,223000,False,2025-07-06 16:04:13.883506,2025-07-06 16:04:13.883506
ff210a03-d01e-49a5-9050-284d1d94490a,david91@example.net,9e606ff129c6f451d6c66bedbbd76c8e87b208edf575059cdc5c4aa39a3527e7,Spain,lesser,pro,331000,361000,True,2025-08-09 11:12:41.202476,2025-08-09 11:12:41.202476
9ec5d781-0848-49fa-bb5c-cc554d78a156,jackiechase@example.com,fbc06bd3205e292650fce8d5850d4c5bb848b3bef14f86ab301ff5fee12e515f,UAE,lessee,beginner,303000,339000,True,2025-06-14 03:11:58.232374,2025-06-14 03:11:58.232374
d509045d-3486-4d4e-81d5-2751d26b1f44,drichardson@example.net,afcaa21d016037d9bc4fad753374fc749d05a97d64c3db90d83b869e0ecb1eac,France,lessee,beginner,319000,406000,True,2025-02-01 08:38:32.151975,2025-02-01 08:38:32.151975
ec3bee5f-46c3-456a-b9fe-96cdc13807e9,karen22@example.org,bc2df28ca7d1dceccdd52b5dbab09aae04c39ba81d37229dacae37d1f7bde6a0,UAE,lessee,intermediate,159000,160000,True,2025-09-08 10:43:56.885602,2025-09-08 10:43:56.885602
cfc5bbf5-be94-47e1-beb7-98d839c84d95,amy36@example.org,714128b7e95fcac8e82ba97a7d738e0f2717d0078006efecf832d582d82700e1,Norway,lessee,beginner,230000,234000,False,2025-07-23 02:15:17.686652,2025-07-23 02:15:17.686652
d6af8696-eab3-440d-8838-2472595904f9,phillipgomez@example.net,6d3d3b201ecd41cd0c55d6a227119e8550bc03f63f9c9c9e1b3bde7e473d05d4,Spain,lessee,beginner,160000,187000,True,2025-02-10 00:21:36.321091,2025-02-10 00:21:36.321091
b9b5b26f-8723-4814-baaf-c0d7c50eedcd,keaton@example.com,85db597b23f814927cb950de4004a6afc4728134e80244ca87d6d77e3ca91088,Greece,lessee,none,7000,10000,False,2025-09-18 20:28:02.676228,2025-09-18 20:28:02.676228
2dfaf7c2-1031-42d2-b953-0dc3eeafb606,coopersarah@example.org,adfad1ee106f013b2611529482f9723c8084950ab686915234edd0724a9092c0,Greece,lessee,intermediate,312000,444000,False,2025-10-23 08:39:05.698672,2025-10-23 08:39:05.698672
6b1cc677-42ea-4e09-8103-2836671a598b,smithjuan@example.org,040ba5b00ca235d5247334785dabb7cfa391e0281b7b508763600d7d2e25cb65,Greece,lessee,pro,152000,152000,False,2025-06-16 04:31:16.975129,2025-06-16 04:31:16.975129
49e152fd-acf0-40ac-9332-23d2d6c65b64,tonibrown@example.net,24dd6d6d75570781d2306edfba18c68d8dec8d44c2b40ee360ad26faa7580070,Italy,lessee,intermediate,131000,187000,True,2025-02-04 22:27:30.808445,2025-02-04 22:27:30.808445
52a66b66-0cec-430c-81ee-9b4d9bbd887d,patricia88@example.net,cc1ad8bcb05164d26730b96296dd5afc69117eb6c97e5722eb11a5aa0254bc11,UAE,lessee,none,12000,16000,False,2025-09-06 12:24:02.822346,2025-09-06 12:24:02.822346
febe58be-85f8-46e0-8875-5920c9353902,harrybrown@example.org,9b0bfdeb5722f0c615e4b4fcbffa49f3e65ea314290f66ed252d09f8bb249bcc,Norway,lessee,intermediate,186000,216000,False,2025-06-03 05:51:38.618666,2025-06-03 05:51:38.618666
064a8763-924c-4c8f-93fc-46c790e936ac,angeladecker@example.com,5cef7aa5aa8b5bfa5723c4a44014fd56810bce8c677dab06155ae5a65d4d421b,France,lessee,pro,124000,149000,False,2025-09-07 13:26:59.820618,2025-09-07 13:26:59.820618
2d730ea3-078c-40cf-b902-8c8fce0e544f,christopher41@example.org,7b1765bb46ae8e263e69a8931e1e83633d492dac171673c33be3cc578eb30623,Norway,lessee,intermediate,219000,281000,True,2025-09-17 18:14:28.650470,2025-09-17 18:14:28.650470
4a031673-c88c-4d79-a363-6adae635e1a9,rodriguezmelissa@example.com,58e98f646fa4a019b7b7ffa452b280a26904d84b42f358af98cfef03e0005e71,Greece,lessee,intermediate,131000,163000,False,2025-06-29 01:56:34.959924,2025-06-29 01:56:34.959924
bbd82837-2eba-4c61-a29c-53356b3b748a,brenda37@example.net,8dad2da73451b86a6247806504823e9d2b620a5d09c6d65c5a7281cf9afbbe69,Australia,lessee,pro,29000,31000,True,2025-01-11 22:17:14.290558,2025-01-11 22:17:14.290558
02b1d86f-c765-485e-8216-01d780773185,laurenfreeman@example.com,92220e9d4f5f58e9743d14e39fec26de210c31c32af3bf1ba96c9a4f61ba8bc9,Norway,lessee,beginner,156000,193000,False,2025-07-15 03:02:13.194422,2025-07-15 03:02:13.194422
a6310245-b6bb-4d14-ae58-9c12c84a6d60,angela09@example.net,49332ac445b63082aebd190c30396b996db61f054273b959d9477922e732a13f,Spain,lessee,pro,10000,12000,False,2025-05-30 03:46:27.219360,2025-05-30 03:46:27.219360
8f23a497-b586-4554-84b0-9b4004519842,christinecohen@example.net,c094005a45173c9d02f83234764ef117568dff9c8176079fdda8f905fc80b8dd,Norway,lessee,beginner,166000,233000,False,2025-01-21 23:46:38.920905,2025-01-21 23:46:38.920905
